epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.286,1.32699,1.65066,1.60064,0.81591,0.70682,0.78087,0.4933,1.43841,1.52531,1.98423,0.000664516,0.000664516,0.000664516
2,205.263,1.31364,1.31092,1.58887,0.77922,0.71179,0.77724,0.49101,1.48838,1.34255,1.98486,0.00130483,0.00130483,0.00130483
3,290.001,1.31721,1.2418,1.58209,0.76575,0.68606,0.71891,0.43872,1.56329,1.48789,2.13092,0.00191873,0.00191873,0.00191873
4,376.626,1.27804,1.17519,1.54996,0.77937,0.68691,0.76361,0.48427,1.49567,1.39065,1.98737,0.0018812,0.0018812,0.0018812
5,474.856,1.22868,1.11102,1.51944,0.85747,0.77915,0.84103,0.56734,1.36222,1.09555,1.87106,0.0018416,0.0018416,0.0018416
6,572.987,1.18446,1.05912,1.49818,0.84581,0.7517,0.84436,0.56452,1.381,1.09448,1.90798,0.001802,0.001802,0.001802
7,671.443,1.14939,1.017,1.46695,0.89429,0.77907,0.86066,0.61117,1.23749,0.99181,1.80382,0.0017624,0.0017624,0.0017624
8,770.174,1.12282,0.97446,1.44561,0.90234,0.80701,0.8786,0.63797,1.19106,0.92692,1.70371,0.0017228,0.0017228,0.0017228
9,868.826,1.09753,0.9408,1.42517,0.92335,0.79142,0.88188,0.63627,1.17564,0.92189,1.69358,0.0016832,0.0016832,0.0016832
10,967.958,1.08485,0.93359,1.41776,0.90469,0.81232,0.88422,0.6369,1.13865,0.86077,1.70335,0.0016436,0.0016436,0.0016436
11,1067.51,1.06724,0.92058,1.40616,0.89929,0.8026,0.88579,0.62749,1.19766,0.89945,1.68539,0.001604,0.001604,0.001604
12,1168.21,1.05434,0.88558,1.39683,0.87911,0.81913,0.88475,0.64721,1.12126,0.85288,1.67423,0.0015644,0.0015644,0.0015644
13,1268.03,1.03689,0.86586,1.37953,0.91336,0.82069,0.89391,0.66656,1.08555,0.80281,1.6188,0.0015248,0.0015248,0.0015248
14,1368.81,1.02388,0.85741,1.37276,0.91678,0.8284,0.90178,0.67373,1.06793,0.80233,1.60388,0.0014852,0.0014852,0.0014852
15,1470.24,1.02019,0.8392,1.36535,0.91427,0.82663,0.9053,0.67186,1.09591,0.80983,1.59795,0.0014456,0.0014456,0.0014456
16,1571.42,1.00063,0.82361,1.35576,0.9281,0.83247,0.90525,0.67489,1.07005,0.74649,1.60808,0.001406,0.001406,0.001406
17,1673.7,0.98329,0.81179,1.34633,0.90832,0.85015,0.91317,0.69315,1.00707,0.77097,1.51821,0.0013664,0.0013664,0.0013664
18,1776.34,0.97825,0.79452,1.33215,0.9297,0.83624,0.91307,0.69414,0.98559,0.75215,1.51176,0.0013268,0.0013268,0.0013268
19,1882.11,0.96944,0.79172,1.33303,0.91834,0.85432,0.91887,0.69899,0.96775,0.71103,1.50271,0.0012872,0.0012872,0.0012872
20,1975.53,0.96065,0.77778,1.32635,0.91486,0.85667,0.91941,0.69805,0.9815,0.70627,1.50125,0.0012476,0.0012476,0.0012476
21,2059.91,0.9585,0.7859,1.32602,0.93506,0.85059,0.922,0.70806,0.97059,0.7024,1.49208,0.001208,0.001208,0.001208
22,2143.6,0.93749,0.7523,1.31114,0.92784,0.85192,0.92319,0.71459,0.95411,0.69759,1.47669,0.0011684,0.0011684,0.0011684
23,2226.88,0.94455,0.75653,1.3163,0.93232,0.85678,0.9262,0.71964,0.94166,0.6657,1.48106,0.0011288,0.0011288,0.0011288
24,2310.11,0.9193,0.72637,1.29195,0.92901,0.86698,0.92725,0.72423,0.9388,0.66968,1.46113,0.0010892,0.0010892,0.0010892
25,2393.75,0.91911,0.73036,1.29749,0.94283,0.87544,0.938,0.73297,0.91398,0.63147,1.43908,0.0010496,0.0010496,0.0010496
26,2477.32,0.91651,0.72562,1.29802,0.94075,0.87257,0.9372,0.73701,0.91025,0.6339,1.42957,0.00101,0.00101,0.00101
27,2560.9,0.88997,0.69217,1.26717,0.94459,0.86363,0.93727,0.7434,0.87328,0.61519,1.41728,0.0009704,0.0009704,0.0009704
28,2644.28,0.88712,0.70401,1.27365,0.94697,0.87213,0.93706,0.74253,0.88055,0.61628,1.40512,0.0009308,0.0009308,0.0009308
29,2727.63,0.88332,0.69109,1.27676,0.92927,0.88643,0.94094,0.75013,0.85872,0.59821,1.38881,0.0008912,0.0008912,0.0008912
30,2810.8,0.88321,0.67991,1.2754,0.94683,0.87308,0.941,0.74911,0.86458,0.59791,1.3941,0.0008516,0.0008516,0.0008516
31,2894.32,0.86817,0.66621,1.26188,0.93388,0.88893,0.94313,0.7559,0.83925,0.60459,1.37492,0.000812,0.000812,0.000812
32,2977.4,0.86294,0.67692,1.26054,0.93735,0.893,0.94795,0.76415,0.81698,0.57075,1.35053,0.0007724,0.0007724,0.0007724
33,3060.66,0.85076,0.66536,1.24863,0.9505,0.88107,0.9496,0.76913,0.81607,0.57033,1.34027,0.0007328,0.0007328,0.0007328
34,3144.11,0.84688,0.65341,1.25167,0.93607,0.8994,0.95229,0.76583,0.81976,0.57578,1.33747,0.0006932,0.0006932,0.0006932
35,3227.51,0.84586,0.65209,1.24924,0.9575,0.88869,0.95288,0.77391,0.80107,0.54193,1.33379,0.0006536,0.0006536,0.0006536
36,3311.02,0.83045,0.63907,1.23697,0.9531,0.89761,0.9566,0.77947,0.78582,0.52495,1.31806,0.000614,0.000614,0.000614
37,3394.1,0.81606,0.62116,1.22718,0.94777,0.89965,0.95578,0.77957,0.79572,0.52752,1.32881,0.0005744,0.0005744,0.0005744
38,3477.49,0.81401,0.61549,1.22453,0.95261,0.8901,0.95444,0.77807,0.77717,0.52125,1.31039,0.0005348,0.0005348,0.0005348
39,3560.97,0.81763,0.61922,1.22557,0.94654,0.90305,0.95897,0.7858,0.76453,0.50963,1.29307,0.0004952,0.0004952,0.0004952
40,3643.95,0.80255,0.6094,1.21543,0.96102,0.89305,0.95928,0.79028,0.74613,0.5014,1.28007,0.0004556,0.0004556,0.0004556
41,3744.48,0.73486,0.50092,1.20963,0.96433,0.89556,0.96091,0.7933,0.73941,0.4957,1.27362,0.000416,0.000416,0.000416
42,3827.59,0.7173,0.47919,1.19275,0.95617,0.90341,0.9649,0.80006,0.71624,0.49313,1.25069,0.0003764,0.0003764,0.0003764
43,3910.82,0.70571,0.47399,1.19143,0.95906,0.91315,0.96473,0.80282,0.70263,0.46569,1.24729,0.0003368,0.0003368,0.0003368
44,3993.99,0.69363,0.46543,1.18118,0.96024,0.91214,0.96785,0.81053,0.68268,0.46178,1.227,0.0002972,0.0002972,0.0002972
45,4076.99,0.68177,0.4572,1.16949,0.96651,0.91144,0.96899,0.81776,0.66825,0.45263,1.21327,0.0002576,0.0002576,0.0002576
46,4159.77,0.67342,0.44765,1.15549,0.95884,0.91843,0.96975,0.81729,0.66528,0.44167,1.20501,0.000218,0.000218,0.000218
47,4242.68,0.66738,0.43678,1.1534,0.96553,0.92161,0.97145,0.8233,0.64847,0.43119,1.19285,0.0001784,0.0001784,0.0001784
48,4325.68,0.65612,0.4295,1.14602,0.95911,0.92469,0.97244,0.82742,0.64007,0.42667,1.18689,0.0001388,0.0001388,0.0001388
49,4408.7,0.65048,0.4282,1.14457,0.96291,0.92298,0.97267,0.82823,0.63613,0.42159,1.18214,9.92e-05,9.92e-05,9.92e-05
