epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.491,1.34244,4.35431,1.56339,0.01784,0.51096,0.03493,0.02349,1.22267,3.6525,1.46786,9.71171e-05,9.71171e-05,9.71171e-05
2,66.5195,1.26134,3.74364,1.49689,0.27559,0.1959,0.09018,0.05796,1.28789,3.20864,1.58816,0.000191254,0.000191254,0.000191254
3,102.12,1.31568,3.33794,1.51598,0.18469,0.25785,0.13934,0.09273,1.31423,2.89666,1.60464,0.00028151,0.00028151,0.00028151
4,143.382,1.31119,3.07899,1.5237,0.19775,0.30204,0.17311,0.11018,1.31238,2.61392,1.59549,0.000276536,0.000276536,0.000276536
5,183.516,1.29247,2.9201,1.51227,0.23841,0.30983,0.22274,0.14862,1.26469,2.49265,1.56471,0.000270715,0.000270715,0.000270715
6,221.144,1.26357,2.78087,1.49561,0.27911,0.35482,0.23187,0.15514,1.28809,2.47718,1.53632,0.000264894,0.000264894,0.000264894
7,251.411,1.28622,2.65742,1.4816,0.24639,0.34153,0.24591,0.16417,1.26425,2.46094,1.53158,0.000259073,0.000259073,0.000259073
8,276.268,1.24479,2.52979,1.46441,0.26341,0.38014,0.27394,0.18284,1.27558,2.33812,1.53269,0.000253252,0.000253252,0.000253252
9,301.052,1.24707,2.46788,1.45894,0.28421,0.39754,0.31017,0.20904,1.25283,2.22533,1.49787,0.00024743,0.00024743,0.00024743
10,329.48,1.20753,2.41932,1.43265,0.30903,0.38277,0.30993,0.20931,1.26177,2.24886,1.50741,0.000241609,0.000241609,0.000241609
11,364.233,1.20417,2.3303,1.42518,0.328,0.43371,0.35708,0.24493,1.23955,2.10625,1.48794,0.000235788,0.000235788,0.000235788
12,397.357,1.20957,2.3061,1.42016,0.30953,0.3928,0.31698,0.21857,1.23731,2.1815,1.50109,0.000229967,0.000229967,0.000229967
13,422.595,1.19249,2.20052,1.41109,0.35902,0.40908,0.36361,0.24895,1.21541,2.05026,1.48354,0.000224146,0.000224146,0.000224146
14,447.498,1.19033,2.20529,1.41042,0.34534,0.39212,0.34077,0.23505,1.23014,2.09419,1.49369,0.000218324,0.000218324,0.000218324
